year,média da produção de leite sudeste (milhões),média da produção de leite sul (milhões),média de produção de leite no centro-oeste,média de produção de leite no norte,média de produção de leite no nordeste,ipca_variacao,Temperatura média SUL (°C),Precipitação média SUL (mm),Temperatura média SUDESTE (°C),Precipitação média SUDESTE (mm),média do preço do leite para o produtor no Sul,média do preço do leite para o produtor no Sudeste,média do preço do leite para o produtor no Centro-Oeste,média do preço do leite para o produtor no Norte,Preço líquido médio do leite (entre produtores) SUDESTE,Preço líquido médio do leite (entre produtores) SUL,Preço líquido médio do leite (entre produtores) centro_oeste,Preço líquido médio do leite (entre produtores) norte,Temperatura média CENTRO-OESTE (°C),Precipitação média CENTRO-OESTE (mm),Temperatura média NORTE (°C),Precipitação média NORTE (mm),Temperatura média NORDESTE (°C),Precipitação média NORDESTE (mm)
2000.0,8.574,4.904,3.08,1.05,2.159,0.48583333333333334,22.879242424242424,121.82000000000001,18.927455536922942,74.24,2.2866666666666666,2.505,2.468,2.19,0.5458483333333334,0.5176171111111111,0.5418,0.47663999999999995,24.37356168831169,82.55,26.46532967032967,137.79999999999998,25.8036151875554,74.28
2001.0,8.573,5.188,3.246,1.237,2.266,0.6183333333333333,23.417045454545455,156.93,18.88387701379417,133.5,2.223333333333333,2.399,2.362,2.15,0.5539883333333334,0.5339526666666666,0.5433466666666666,0.4968416666666667,23.825000000000003,108.0,26.975,147.0,25.433333333333334,167.3
2002.0,8.746,5.508,3.46,1.567,2.363,0.9916666666666667,24.55,251.9,18.640625000000004,77.9,2.1906666666666665,2.37,2.326,2.136,0.5900197222222222,0.570766,0.5850833333333333,0.5394983333333334,24.46875,89.0,26.907142857142855,147.0,25.067080745341613,22.8
2003.0,8.934,5.779,3.535,1.498,2.508,0.7458333333333332,22.975,156.6,20.035454545454545,48.05,2.1906666666666665,2.37,2.326,2.136,0.6488627777777777,0.6328830555555556,0.6486350000000001,0.5876166666666667,24.396785714285713,86.65,26.371428571428574,164.89999999999998,25.46764705882353,55.7
2004.0,9.241,6.246,3.62,1.663,2.705,0.6124999999999999,23.070833333333336,115.10000000000001,18.863524590163934,59.6,2.223333333333333,2.399,2.362,2.15,0.5024,0.49124999999999996,0.48619999999999997,0.44809999999999994,24.49602272727273,76.15,26.23076923076923,164.89999999999998,25.754545454545454,63.8
2005.0,9.535,6.5920000000000005,3.778,1.743,2.972,0.46249999999999997,22.333333333333332,135.3,17.81282051282051,66.85,2.223333333333333,2.399,2.362,2.15,0.4869958333333333,0.45540500000000006,0.4821416666666667,0.4272166666666666,24.508823529411764,65.8,26.428571428571427,131.0,25.98222222222222,63.599999999999994
2006.0,9.74,7.039,3.722,1.699,3.198,0.25833333333333336,22.400000000000002,86.9,18.823255813953487,127.19999999999999,2.223333333333333,2.399,2.362,2.15,0.4701208333333333,0.4360666666666668,0.4465333333333331,0.3867583333333333,25.094444444444445,130.2,26.472570532915363,131.6,26.043333333333337,57.300000000000004
2007.0,9.803,7.51,3.808,1.677,3.339,0.3641666666666667,22.6,115.20000000000002,19.102222222222224,63.2,2.2966666666666664,2.64,2.66,2.17,0.6194472222222221,0.5852305555555556,0.6389083333333333,0.5210833333333333,24.64117647058823,76.15,26.32087912087912,81.2,26.38032786885246,21.0
2008.0,10.141,8.268,4.055,1.666,3.455,0.4791666666666667,22.09090909090909,110.8,19.120767195767193,68.2,2.2266666666666666,2.525,2.48,2.27,0.6502777777777777,0.6201333333333333,0.6552166666666667,0.6000416666666667,24.518644067796608,76.75,26.40526315789474,103.75,25.830000000000002,25.9
2009.0,10.42,8.957,4.222,1.673,3.813,0.3525,22.202945301542776,125.75,19.06696042053185,76.4,2.2733333333333334,2.41,2.3,2.21,0.6357111111111111,0.6247333333333333,0.6218666666666667,0.59655,24.454320987654324,86.5,26.359999999999996,141.0,26.0,41.9
2010.0,10.92,9.611,4.45,1.737,3.998,0.48,22.174418604651166,133.4,18.958426966292134,72.9,2.346666666666667,2.51,2.46,2.26,0.674713888888889,0.6623083333333334,0.6799916666666667,0.6255833333333333,24.440966308774527,82.7,26.372727272727275,128.25,26.166300366300366,45.2
2011.0,11.308,10.226,4.777,1.675,4.11,0.5266666666666667,22.056603773584907,134.4,18.952058823529413,76.6,2.2899999999999996,2.44,2.44,2.04,0.781211111111111,0.7659902777777777,0.7999,0.6678083333333333,24.430555555555557,83.0,26.323417721518986,134.6,26.029175824175823,49.2
2012.0,11.591,10.736,4.818,1.658,3.501,0.4741666666666666,22.276138538078833,125.7,18.876362135388003,75.05,1.9799999999999998,2.11,2.13,1.97,0.8199784722222222,0.7985067460317461,0.8294333333333334,0.7982555555555555,24.468619374523264,84.4,26.312820512820508,133.15,26.122976190476194,37.9
2013.0,12.02,11.774,5.016,1.846,3.598,0.48,22.15501336898396,128.45,19.034956575682383,77.5,2.1300000000000003,2.2649999999999997,2.33,2.16,0.97301875,0.9447404761904762,0.9916416666666666,0.9293958333333334,24.294803921568622,85.2,26.323790849673202,134.25,26.135983981693364,41.8
2014.0,12.13,12.211,4.944,1.946,3.892,0.5191666666666667,22.176250000000003,129.2,19.194999999999997,73.5,2.06,2.1900000000000004,2.15,2.23,0.9793645833333333,0.9584059523809524,0.9722416666666667,0.9776458333333333,24.288,87.1,26.30328358208955,140.3,26.134888888888888,42.0
